latitude,longitude,country
-2.235,30.765,Rwanda
-2.237,30.763,Rwanda
-2.248,28.652,Congo
-2.254,30.446,Rwanda
-2.255,28.645,Congo
-2.256,28.744,Congo
-2.257,30.243,Rwanda
-2.26,30.84,Rwanda
-2.262,30.838,Rwanda
-2.267,29.933,Rwanda
-2.269,30.231,Rwanda
-2.271,29.929,Rwanda
-2.272,29.128,Rwanda
-2.278,29.722,Rwanda
-2.28,29.92,Rwanda
-2.282,29.018,Congo
-2.291,29.609,Rwanda
-2.293,29.507,Rwanda
-2.3,29.2,Rwanda
-2.301,29.899,Rwanda
-2.302,29.198,Rwanda
-2.311,29.489,Rwanda
-2.313,29.787,Rwanda
-2.317,28.883,Congo
-2.319,31.181,Tanzania
-2.329,28.671,Congo
-2.329,30.071,Rwanda
-2.33,29.57,Rwanda
-2.335,29.665,Rwanda
-2.339,28.461,Congo
-2.341,29.059,Rwanda
-2.342,29.458,Rwanda
-2.353,30.847,Tanzania
-2.362,30.638,Rwanda
-2.365,30.535,Rwanda
-2.376,29.924,Rwanda
-2.378,29.222,Rwanda
-2.385,28.715,Congo
-2.386,30.314,Burundi
-2.399,29.901,Rwanda
-2.404,30.496,Burundi
-2.407,29.393,Rwanda
-2.422,28.778,Congo
-2.427,28.673,Congo
-2.431,29.269,Rwanda
-2.432,29.568,Rwanda
-2.436,30.464,Burundi
-2.44,29.06,Rwanda
-2.441,28.959,Rwanda
-2.443,28.657,Congo
-2.447,28.353,Congo
-2.451,28.249,Congo
-2.466,30.334,Burundi
-2.479,29.421,Rwanda
-2.484,30.116,Burundi
-2.489,28.811,Congo
-2.491,29.309,Rwanda
-2.496,28.504,Congo
-2.517,29.883,Rwanda
-2.521,29.179,Rwanda
-2.522,29.078,Rwanda
-2.539,28.461,Congo
-2.548,29.752,Rwanda
-2.555,29.145,Rwanda
-2.561,29.839,Rwanda
-2.571,30.029,Burundi
-2.583,29.617,Rwanda
-2.588,29.912,Rwanda
-2.589,28.311,Congo
-2.595,28.905,Rwanda
-2.599,29.801,Rwanda
-2.602,29.898,Rwanda
-2.61,28.79,Congo
-2.623,28.977,Rwanda
-2.638,29.562,Rwanda
-2.64,29.46,Rwanda
-2.643,29.257,Burundi
-2.649,28.651,Congo
-2.652,29.148,Burundi
-2.655,30.245,Burundi
-2.656,29.744,Rwanda
-2.656,30.944,Tanzania
-2.662,30.138,Burundi
-2.673,29.327,Burundi
-2.676,28.724,Congo
-2.689,28.811,Congo
-2.693,28.607,Congo
-2.696,29.304,Burundi
-2.697,29.403,Rwanda
-2.7,29.5,Rwanda
-2.71,30.19,Burundi
-2.712,29.488,Rwanda
-2.719,30.281,Burundi
-2.719,30.981,Tanzania
-2.721,29.979,Burundi
-2.726,30.474,Tanzania
-2.734,29.766,Rwanda
-2.74,29.66,Rwanda
-2.751,29.249,Burundi
-2.752,30.048,Burundi
-2.757,29.543,Rwanda
-2.761,28.439,Congo
-2.763,30.337,Burundi
-2.764,29.136,Burundi
-2.766,30.734,Tanzania
-2.77,28.93,Congo
-2.771,30.029,Burundi
-2.772,30.928,Tanzania
-2.783,28.817,Congo
-2.794,28.306,Congo
-2.812,30.488,Tanzania
-2.815,30.285,Burundi
-2.817,29.283,Burundi
-2.817,29.783,Burundi
-2.818,29.582,Burundi
-2.819,29.981,Burundi
-2.82,28.38,Congo
-2.821,29.479,Burundi
-2.828,29.872,Burundi
-2.834,30.466,Tanzania
-2.836,30.064,Burundi
-2.836,30.364,Burundi
-2.839,28.861,Congo
-2.841,28.659,Congo
-2.841,29.159,Burundi
-2.842,28.958,Congo
-2.846,28.454,Congo
-2.851,30.249,Burundi
-2.853,28.547,Congo
-2.855,29.145,Burundi
-2.858,28.642,Congo
-2.859,29.041,Congo
-2.859,29.441,Burundi
-2.86,28.74,Congo
-2.879,30.621,Tanzania
-2.883,29.017,Congo
-2.896,29.404,Burundi
-2.898,29.002,Congo
-2.899,29.601,Burundi
-2.9,29.3,Burundi
-2.902,30.398,Burundi
-2.922,29.178,Burundi
-2.924,29.976,Burundi
-2.929,29.771,Burundi
-2.931,29.569,Burundi
-2.935,29.565,Burundi
-2.939,30.461,Burundi
-2.944,29.356,Burundi
-2.946,30.454,Burundi
-2.955,30.245,Burundi
-2.958,29.442,Burundi
-2.959,30.641,Burundi
-2.97,30.03,Burundi
-2.972,28.228,Congo
-2.979,30.021,Burundi
-2.985,30.415,Burundi
-2.986,29.114,Congo
-2.999,30.701,Burundi
-3.016,30.384,Burundi
-3.016,30.584,Burundi
-3.023,30.177,Burundi
-3.025,30.275,Burundi
-3.028,28.872,Congo
-3.032,29.168,Congo
-3.047,28.753,Congo
-3.054,29.046,Congo
-3.095,29.505,Burundi
-3.099,29.601,Burundi
-3.133,29.467,Burundi
-3.136,30.364,Burundi
-3.138,30.662,Burundi
-3.153,30.347,Burundi
-3.161,28.839,Congo
-3.174,29.926,Burundi
-3.287,29.713,Burundi
-3.299,30.301,Burundi
